,htid,author,title,year
11905,uc1.$b63287,"Béhaine, René,",Day of glory. | $c: Translated from the French by Bernard Miall.,1949
1648,uiuo.ark:/13960/t3rv0x09k,"Davenport, Selina,",The hypocrite;,1814
1250,nyp.33433074871900,"Hutton, Edward.",Frederic Uvedale,1901
10725,nyp.33433068177587,"Hillam, S. A.",Sheykh Hassan,1888
3962,uiuo.ark:/13960/t1cj8rk2q,"Ouida,",Syrlin,1890
21520,umn.31951002097653z,"Eliot, Elizabeth.",Henry.,1950
14627,uc1.$b318429,"Hémon, Louis,",Blind man's buff / | $c: by Louis Hemon ; translated by Arthur Richmond.,1924
7119,njp.32101066459791,"Gore,","Temptation and atonement, and other tales",1847
12185,mdp.39015080823209,"James, Eloisa.",Duchess by night / | $c: Eloisa James.,2009
4449,nyp.33433074897061,"Meredith, George,",The case of General Ople and Lady Camper,1890
8253,uc2.ark:/13960/t5z60gj8r,"Beschi, Costantino Giuseppe,","Strange surprising adventures of the venerable Gooroo Simple, and his five disciples, Noodle, Doodle, Wiseacre, Zany, and Foozle",1861
20757,uc1.b2799144,"Hearn, C. V.","Desert assignment, | $c: by C. V. Hearn.",1963
4514,uiuo.ark:/13960/t9280xg5h,"Philips, F. C.",The dean and his daughter,1887
10790,uva.x002450454,"Lablache, Fanny,",Starlight stories,1884
8068,njp.32101068585437,"Rossetti, Christina Georgina,","Commonplace, and other short stories",1870
16211,mdp.39015049647244,"Armstrong, Adam,",Cry of the panther / | $c: Adam Armstrong.,2000
5464,uiuo.ark:/13960/t6qz2x06f,"Wraxall, Lascelles,","Fides, or, The beauty of Mayence",1866
17218,mdp.39015043790941,"Leitch, Maurice,",The smoke king / | $c: Maurice Leitch.,1998
4858,uc2.ark:/13960/t5w66dr3v,"Baerlein, Henry,",The house of the fighting-cocks,1922
5122,mdp.39015022622859,"Pickthall, Marmaduke William,",The myopes,1907
12526,mdp.39015059405327,"Hyne, Charles John Cutcliffe Wright,",The Rev. Captain Kettle.,1925
20522,uc1.b3472693,"Douglas-Home, Robin.",When the sweet talking's done / | $c: Robin Douglas-Home.,1968
17517,uc1.32106017666501,,Opening spaces : | an anthology of contemporary African women's writing / | $c: edited by Yvonne Vera,1999
3234,uiuo.ark:/13960/t8tb1p00j,"Middlemass, Jean.",Baiting the trap,1875
387,wu.89092549310,"Birmingham, George A.,",A public scandal and other stories,1922
2088,njp.32101066457076,"Cockton, Henry,","Sylvester Sound, the somnambulist",1849
12795,mdp.39015011825448,"Asher, Michael,",A desert dies / | $c: Michael Asher.,1986
15412,uc1.b3834403,"Galsworthy, John,",The country house : | a novel / | $c: by John Galsworthy ...,1923
20193,inu.39000002315450,"Gibbons, Stella,","Nightingale wood, | $c: by Stella Gibbons.",1938
7417,uc2.ark:/13960/t3jw89g4h,"Lever, Charles James,",[Charles Lever's novels,1872
9293,uiuo.ark:/13960/t6j10nk07,"Braddon, M. E.","Weavers and weft, and other tales",1877
10041,njp.32101063606550,"Crawfurd, Archibald.",Tales of my grandmother,1825
9165,nyp.33433074892526,"Mathew, Frank James,",A child in the temple,1897
12830,mdp.39015031240875,"Isherwood, Christopher,","The memorial, | portrait of a family | $c: [by] Christopher Isherwood.",1952
2292,nyp.33433074930334,"Egerton, George,",Keynotes,1893
12019,mdp.39015048901667,"March, Richard,",The mountain of the upas tree.,1948
1629,uc1.b3325475,"Lytton, Rosina Bulwer Lytton,",Memoirs of a Muscovite,1844
2889,njp.32101067630390,"Brooks, Elbridge S.",A son of Issachar,1890
9135,uc1.b3321303,"Craik, Georgiana M.",Riverston,1857
21076,mdp.39015025396469,"Bogarde, Dirk,",Jericho / | $c: Dirk Bogarde.,1992
9197,njp.32101065640144,"Scharling, C. Henrik",Nöddebo parsonage;,1867
4094,hvd.hwnp79,"MacFarlane, Charles,",The romance of history,1832
8759,nyp.33433074870084,"Holt, Thomas Littleton,","John Horsleydown; or, The confessions of a thief",1860
20540,uc1.b3787814,"Castro, Ferreira de,",The mission / | $c: by Ferreira de Castro ; with an introd. by Alvaro Salema ; [translted by Ann Stevens].,1963
1950,uiuo.ark:/13960/t76t15q92,"Lamb, Caroline,",Glenarvon,1816
12647,uc1.b3548194,"Conrad, Joseph,",The works of Joseph Conrad.,1923
11912,uc1.$b268702,"Frith, Dean, pseud.","Booze-runner, | $c: by ""Dean Frith"".",1935
18351,mdp.39015025200398,"Dibba, Ebou.",Fafa : | an idyll on the banks of a river : a novel / | $c: by Ebou Dibba.,1989
16325,uc1.32106011220693,"Manotti, Dominique",Rough Trade / | $c: Dominique Manotti ; translated from the French by Margaret Crosland and Elfreda Powell,2001
14891,inu.30000006633253,"Shaw, Bernard,",The works of Bernard Shaw,1930
735,uiuo.ark:/13960/t1fj2zs1r,"Laffan, Bertha Jane",The Peyton romance,1892
8540,uiuo.ark:/13960/t5q81pd7v,"Fenn, George Manville,",King of the castle,1892
14727,uc1.b3477386,"Leslie, Doris.",The rebel princess.,1970
80,uiuo.ark:/13960/t6d22jj5t,"Roberts,",Delmore,1806
13989,mdp.39015043116709,"Aira, César,",The hare / | $c: César Aira ; translated by Nick Caistor.,1998
14651,mdp.39015029087049,"Brookner, Anita.",A family romance / | $c: Anita Brookner.,1993
20954,uc1.$b119910,"Heym, Stefan,",Uncertain friend: | a biographical novel.,1969
17582,uc1.b4974831,"Troyat, Henri,",Sylvie - her teenage years / | $c: Henri Troyat ; translated from the French by Anthea Bell.,1987
12461,uc1.32106019365086,"(Herbert George), Wells, H. G.",The works of H. G. Wells.,1924
16097,uc1.$b302154,"Oliver, Jane, pseud.",Isle of glory | $c: [by] Jane Oliver.,1947
12950,wu.89057817041,"Lindgren, Torgny,","In praise of truth : | the personal account of Theodore Marklund, picture-framer / | $c: Torgny Lindgren ; translated from the Swedish by Tom Geddes.",1994
4960,uiuo.ark:/13960/t2k653z0c,"Shipton, Helen.",Alston Crucis,1893
14394,inu.32000006712584,"Ganier-Raymond, Philippe.",The tangled web; | $c: translated from the French by Len Ortzen.,1968
20732,uiug.30112041406049,"Bindloss, Harold,",The impostor / | $c: by Harold Bindloss.,1908
5037,uc2.ark:/13960/t55d8qv6p,"Dowdall, Mary Frances Harriet Borthwick,",Joking apart,1914
11367,inu.39000003797672,"Burgess, Anthony,","Inside Mr. Enderby | $c: [by] Joseph Kell, pseud.",1963
6557,nyp.33433074902796,"Macquoid, Katharine S.",The story of Lois,1898
8194,uiuo.ark:/13960/t7jq1c60j,"[Gore,",Pin money;,1831
15108,mdp.39015003930842,"Godden, Rumer,",The dark horse / | $c: Rumer Godden.,1981
12575,mdp.39015070739357,"Thewlis, David,",The late Hector Kipling / | $c: David Thewlis.,2007
7100,uiuo.ark:/13960/t3pv6zv7w,"Cobbold, Richard,","Freston Tower, or, The early days of Cardinal Wolsey",1850
6316,nyp.33433074875497,"Lysaght, Sidney Royse,",The marplot,1893
19866,inu.30000029787151,,A fabulous formless darkness / | $c: edited by David G. Hartwell.,1992
7604,uiuo.ark:/13960/t03x8td9q,"Mongredien, Augustus,",Frank Allerton,1878
19755,mdp.39015049980843,"Everett, Peter,",Bellocq's women / | $c: Peter Everett.,2000
10768,coo.31924027724016,"Serao, Matilde,",The desire of life,1911
8670,uiuo.ark:/13960/t78s51318,"Chatterton, Georgiana,",The lost bride,1872
4086,njp.32101068138450,"Brent, John,",The sea-wolf,1834
6956,uiuo.ark:/13960/t8ff4947x,"McCarthy, Justin H.",A London legend,1895
6685,uva.x000491597,"Cookson, Sybil Irene Eleanor Taylor,",Echo,1919
10068,uiuo.ark:/13960/t3xs61z24,"Crowberry, Daniel.","North of the Tweed, or, Lorance Langton: his life, incidents, and adventures in Scotland",1867
20224,uc1.b2843736,"Daniel, Yury,",The man from M.I.S.P. | $c: [by] Y. Daniel (N. Arzhak): translated by M.V. Nesterov.,1966
5182,uiuo.ark:/13960/t7cr6gh6d,"Smart, Hawley,",Long odds,1889
2659,uc2.ark:/13960/t47p91q9j,"Pickthall, Marmaduke William,",As others see us,1922
15802,mdp.39015000609530,"Spark, Muriel.",The ballad of Peckham Rye.,1960
12407,mdp.39015032210869,"Glaister, Lesley,",Partial eclipse / | $c: Lesley Glaister.,1994
7189,uiuo.ark:/13960/t4fn1t995,"Stretton, Hesba,",Paul's courtship,1867
10989,mdp.39015065763545,"Smith, Horace,",Walter Colyton,1830
14842,mdp.39015003677179,"Forster, Margaret,",The seduction of Mrs. Pendlebury.,1974
17003,mdp.39015012296037,"Raven, Simon,",Close of play / | $c: Simon Raven.,1986
11728,uc1.$b103172,"Mitchison, Naomi,","Cloud cuckoo land, | $c: by Naomi Mitchison.",1925
14146,mdp.39015014597416,"Wilson, Colin,",The Janus murder case / | $c: Colin Wilson.,1984
17586,uc1.$b800269,"Sully, Kathleen.",Canal in moonlight.,1955
6769,uiuo.ark:/13960/t9f47zg06,"Lyall, Edna,",Knight-errant,1887
1980,njp.32101066459718,"Gore,",Hungarian tales,1829
13765,mdp.39015016974308,"Taner, Haldun.",Thickhead and other stories / | $c: by Haldun Taner ; translated from the Turkish by Geoffrey Lewis.,1988
7605,uiuo.ark:/13960/t3tt55s0m,"Mongredien, Augustus,",Frank Allerton,1878
18022,mdp.39015066058713,"Plomer, William,",Four countries.,1949
15375,uc1.31158003738555,"Elbe, Lili,","Man into woman : | an authentic record of a change of sex / | $c: [ed. by Niels Hoyer, i.e. E. Harthern] ; translated from the German by H. J. Stenning ; introduction by Norman Haire.",1937
15963,mdp.39015059294572,"Provoost, Anne,",In the shadow of the ark / | $c: Anne Provoost ; translated by John Nieuwenhuizen.,2004
6351,uiuo.ark:/13960/t9183w787,"Oliphant,",The perpetual curate,1864
14201,uc1.b4956668,"Mais, Roger.",Black lightning / | $c: Roger Mais ; introduction by Jean D'Costa.,1983
13749,inu.39000001049829,"Böll, Heinrich,",The casualty / | $c: Heinrich Böll ; translated from the German by Leila Vennewitz.,1986
15508,mdp.39015052394924,,In female disguise : | an anthology of English and American short stories and literary passages / | $c: edited by Peter Farrer.,1992
8791,njp.32101067647519,"James, G. P. R.",Eva St. Clair and other collected tales,1843
18844,uc1.32106011414205,"Simenon, Georges,",Maigret's first case / | $c: by Georges Simenon. Translated from the French by Robert Brain,1953
17447,mdp.39015004256973,"Ekwensi, Cyprian,","Lokotown, and other stories.",1966
20982,uc1.b2798604,"Sugimoto, Etsuko,",Samurai daughter in America | $c: [by] Etsu Sugimoto. Illus. by Jane Paton.,1963
18786,mdp.39015069302597,"Harris, Joanne,",The lollipop shoes / | $c: Joanne Harris.,2007
20437,mdp.39015018496359,"Nizan, Paul.",The conspiracy / | $c: Paul Nizan ; translated by Quintin Hoare ; with an afterword by Jean-Paul Sartre.,1988
20041,mdp.39076006257948,"Faulkner, William,",The collected short stories of William Faulkner / | $c: William Faulkner.,1958
21152,mdp.39015003931790,"Golding, Louis,","Adventures in living dangerously, | $c: by Louis Golding.",1930
9351,uc2.ark:/13960/t5gb29x4g,"Merriman, Henry Seton,",Suspense,1890
10937,uiuo.ark:/13960/t75t3x02t,"Black, William,",In far Lochaber,1888
12151,uc1.b4082975,"Williams, Tennessee,",Three players of a summer game : | and other stories / | $c: Tennessee Williams.,1960
5831,nyp.33433074943675,"Austen, Jane,",The novels of Jane Austen,1892
20117,mdp.39015063513314,"Drage, Charles,",William King's profession.,1960
17202,mdp.39015017709083,,The Oxford book of marriage / | $c: edited by Helge Rubinstein.,1990
9594,uiuo.ark:/13960/t0pr8dk1p,"Russell, William Clark,",The Golden Hope,1887
216,nyp.33433074932371,"Banim, John,",The Anglo-Irish of the nineteenth century,1828
11480,mdp.39015046463942,"Lodge, David,",Thinks : | a novel / | $c: by David Lodge.,2001
2584,nyp.33433074940846,"Blackmore, R. D.",Tales from the telling-house,1896
19296,mdp.39015016452412,"Braithwaite, E. R. (Edward Ricardo)",Choice of straws.,1965
20408,mdp.49015002055169,"Kavan, Anna,",Eagles' nest : | a novel / | $c: Anna Kavan.,1976
9370,uc1.b3324287,"Duros, Edward.",Otterbourne;,1832
5145,uiuo.ark:/13960/t8gf19w8f,"Helps, Arthur,",Ivan de Biron;,1874
12758,uc1.32106008232248,"Deighton, Len,","Winter : | a Berlin Family, 1899-1945 / | $c: Len Deighton.",1987
9298,uiuo.ark:/13960/t1kh1691w,"Pryce, Richard,",Winifred Mount,1894
14004,mdp.39015016993365,,The way we lived then : | the English story in the 1940s / | $c: introduction by Woodrow Wyatt.,1989
11405,uc1.$b120413,"Goldsmith, John,","Mrs. Mount, ascendant: | a novel.",1968
3218,mdp.39015047666972,"Black, William,",Green pastures and Piccadilly,1877
11192,mdp.39015009367114,"Anderson, Sherwood,",Windy McPherson's son | $c: [by] Sherwood Anderson.,1923
2841,mdp.39015059375876,,The New British novelist;,1830
9249,nyp.33433075751648,"Somerville, E. Œ.",In Mr. Knox's country,1915
16450,uc1.$b251256,,The Mercury story book. | $c: With an introd. by J. B. Priestley.,1929
1525,uc1.b4594152,"Deloney, Thomas,",The history of John Winchcomb,1859
5496,njp.32101065605295,"Wood, Henry,",Mildred Arkell,1882
10366,mdp.39015031240990,"James, G. P. R.",The robber,1838
8081,mdp.39015066992135,"Grant, Colquhoun,",Through Dante's land;,1912
12098,mdp.39015037372128,"Nye, Robert.",The facts of life and other fictions / | $c: Robert Nye.,1983
742,nyp.33433034410393,"Linskill, Mary,",Between the heather and the northern sea,1890
14171,mdp.39076005253906,"Adams, Richard,",Shardik / | $c: Richard Adams.,1974
17829,mdp.39015028698366,"Kim, Tong-ni,",The shaman sorceress / | $c: Kim Dong-ni ; translated by Hyun Song Shin and Eugene Chung.,1989
3090,uc1.b3322069,"Fox, S. M.",George,1890
5977,mdp.39015030083482,"Mason, Eugene.","Aucassin & Nicolette, and other mediaeval romances and legends",1915
18389,mdp.39015029276758,,"Fabulous tricks : | stories by gay men / | $c: edited by David Rees, Peter Robins, and Dave Royle.",1992
5961,uiuo.ark:/13960/t73v05k8t,,"The picaroon, or, The merchant smuggler",1845
21543,uc1.$b322781,"Booth, Edward Charles.",The tree of the garden.,1956
12791,uc1.$b243905,"Peterkiewicz, Jerzy,",Future to let; | a novel | $c: [by] Jerzy Peterkiewicz.,1958
18802,uc1.b3810859,"Burke, Thomas,","The wind and the rain; | a book of confessions, | $c: by Thomas Burke",1924
21414,uc1.$b86271,"Auld, Philip.",Honour a physician.,1959
1308,njp.32101068169505,"Gerard, E.",Beggar my neighbor,1882
7142,uiuo.ark:/13960/t71v6361b,"Jennings, Louis John,",The Philadelphian,1891
10836,uc2.ark:/13960/t7zk5890h,"Hudson, Stephen,",Richard Kurt,1919
18366,mdp.39015056468906,"Hong, Ying,",K : | the art of love / | $c: Hong Ying ; translated by Nicky Harman & Henry Zhao.,2002
5697,uiuo.ark:/13960/t08w42g96,"Pigott, Harriet,","The pride of ancestry: or, Who is she?",1804
12119,mdp.39015002188111,"Nin, Anaïs,",A spy in the house of love.,1971
13771,mdp.39015014863099,"Mittelhölzer, Edgar.",The aloneness of Mrs. Chatham.,1965
13389,mdp.39015030838687,"Montgomery, Robert Bruce,","Best SF three; | science fiction stories, | $c: edited with an introd. by Edmund Crispin [pseud.]",1958
3694,nyp.33433074864236,"Kaye, John William,",Jerningham: a story,1854
14759,mdp.39015059287832,"Litt, Toby,",Beatniks / | $c: Toby Litt.,2004
12782,uc1.$b146893,"Stow, Randolph,",Tourmaline.,1963
9989,mdp.39015063562436,"Lee, Aubrey.",John Darker,1895
8558,uiuo.ark:/13960/t06w9vs2n,"Lillie, Arthur,",The cobra diamond,1890
2662,uc2.ark:/13960/t1bk1p43x,"Whibley, Charles,",A book of scoundrels,1911
3039,uiuo.ark:/13960/t9862sg0c,"Besant, Walter,",Ready-money Mortiboy,1872
4004,uc2.ark:/13960/t3dz03v4c,"Coxon, Muriel (Hine) ""Mrs. Sidney Coxon.""",Earth,1912
20959,mdp.39015047457992,"Preston, Peter,",51st state / | $c: Peter Preston.,1998
11304,mdp.39015043049900,"Ní Dhuibhne, Éilís,",The dancers dancing / | $c: Eilís Ní Dhuibhne.,1999
13361,mdp.39015080815882,"Green, Hilary,",The final act / | $c: Hilary Green.,2009
20755,uc1.$b564653,"Sandford, Kenneth.","Mark of the lion, | the story of Capt. Charles Upham, v.c. and bar.",1964
20953,uc1.32106008238773,"Vázquez Montalbán, Manuel.",Southern seas / | $c: Manuel Vazquez Montalban ; translated by Patrick Camiller.,1986
5159,mdp.39015063870078,"Gaspey, Thomas,",The Lollards,1822
11274,mdp.39015019673303,,"Unguarded hours / | $c: editor, Ruth Rendell.",1990
12704,mdp.39015066580104,"Saint Pierre, Michel de,",The new artistocrats. | $c: Translated by Anthony and Llewela Burgess.,1962
2319,mdp.39015063945193,"Miller, Hugh,",Tales and sketches,1871
7886,uiuo.ark:/13960/t3zs3cq9p,"Spence, Elizabeth Isabella,","Dame Rebecca Berry; or, Court scenes in the reign of Charles the Second",1827
17091,uc1.$b322848,"Boden, Frederick C.",Miner / | $c: by F. C. Boden.,1932
10113,njp.32101066456979,"Cobban, J. Maclaren",The Red Sultan,1893
581,uiuo.ark:/13960/t3514q38x,"Holstein, Anthony Frederick,",The miseries of an heiress,1810
16322,uc1.32106006950585,"Defoe, Daniel,","An account of the conduct and proceedings of the late John Gow, alias Smith, captain of the late pirates, executed for murther [sic] and piracy, committed on board the George Galley, afterwards call'd the Revenge : | with a relation of all the horrid murthers [sic] they committed in cold blood : as also of their being taken at the islands of Orkney, and sent up prisoners to London / | $c: by Daniel Defoe.",1978
13651,uc1.$b242900,"Frankau, Pamela,",The winged horse / | $c: by Pamela Frankau.,1953
19250,mdp.39015014661493,"Hornstein, Erika von,",Russians in my home. | $c: Translated from the German by Ingrid Enway Gunvaldsen.,1960
10095,nyp.33433075751507,"Spettigue, H. H.",The heritage of Eve,1898
19154,inu.30000100579089,"Hennigan, Brian.",The scheme of things / | $c: Brian Hennigan.,2005
14060,uc1.32106002182878,"Padgett, Ron,",The adventures of Mr. and Mrs. Jim and Ron | $c: [by] Jim Dine and Ron Padgett.,1970
15416,mdp.39015032437827,"Dunmore, Helen,",Burning bright / | $c: Helen Dunmore.,1994
13861,uc1.32106013102063,"Cowan, Andrew",Common ground / | $c: Andrew Cowan,1996
8906,njp.32101068175049,"Tindal, Henrietta Euphemia,",The heirs of Blackridge Manor,1856
15827,uc1.32106008757392,"Graham, Caroline,",Death of a hollow man / | $c: Caroline Graham.,1989
6676,mdp.39015063554326,"Sullivan, Arabella Jane,",Recollections of a chaperon,1883
13923,uc1.b4099881,"Baker, George Edward,",Whom Athene loved.,1950
19176,mdp.39015001600769,"Čapek, Karel,",The absolute at large | $c: [by] Karel Čapek.,1944
9482,njp.32101064912080,"Marks, Mary A. M.",Five-chimney farm,1877
10701,mdp.39015014117660,"Porter, Anna Maria,",The recluse of Norway,1814
6463,uiuo.ark:/13960/t39z9t711,"Tabor, Eliza.",A double wedding,1888
7148,uiuo.ark:/13960/t45q5kx6m,"Woodgate, Walter Bradford,","The O.V.H., or, How Mr. Blake became an M.F.H",1869
18036,mdp.39015015503199,,Korean classical literature : an anthology / | $c: edited by Chung Chong-wha.,1989
20102,uc1.32106018449808,"Lecasble, Guillaume",Lobster / | $c: Guillaume Lecasble ; translated by Polly McLean,2005
10396,uiuo.ark:/13960/t9t15cc7t,"Eaton, Charlotte A.",Vittoria Colonna,1827
18819,mdp.39015059976921,"Maitland, Sara,",On becoming a fairy godmother / | $c: Sara Maitland.,2003
2531,nyp.33433074880356,"Marryat, Frederick,","Rattlin, the reefer",1856
13004,uc1.32106018921038,"Westlake, Donald E.",Point blank / | $c: Richard Stark.,1984
2693,uc2.ark:/13960/t3dz04s7b,"Somadeva Bhaṭṭa,","The golden town, and other tales from Soma-Deva's ""Ocean of romance-rivers,""",1909
17579,inu.30000113547149,"Blandy, Mary.",Razor edge: | the story of a youth club.,1967
2541,nyp.33433074902390,"Molloy, J. Fitzgerald",A modern magician,1887
20268,uc1.$b104482,"Young, Francis Brett,",Blood oranges / | $c: Francis Brett Young ; [drawings by Albert Edward Berbank].,1932
8366,uiuo.ark:/13960/t0jt09x58,"Stirling, Fanny,",Sedgely Court,1865
695,uiuo.ark:/13960/t13n2ss1m,"Stevens, Augusta De Grasse.",Miss Hildreth,1888
19724,uc1.31822028616142,"Palmer, Robert,",Deep into blue holes : | the story of the Andros Project / | $c: Robert Palmer,1989
21008,mdp.39015049970919,"Lessing, Doris May,","Ben, in the world : | the sequel to The fifth child / | $c: Doris Lessing.",2000
2625,njp.32101068602075,"Reade, Charles,",The autobiography of a thief,1890
19728,mdp.39015066088157,"Okri, Ben.",The famished road / | $c: Ben Okri.,1991
21246,uc1.$b23786,"Gollomb, Joseph,","Pirates, old and new, | $c: by Joseph Gollomb ... woodcuts by Clyde A. Nordquist.",1931
14825,inu.32000004519544,"Proust, Marcel,",Remembrance of things past / | $c: [Marcel Proust ; translated by C.K. Scott Moncrieff].,1949
1665,uiuo.ark:/13960/t63495908,"Lemon, Mark,",Loved at last,1864
14826,mdp.39015019619538,"Boyt, Rose,",Sexual intercourse / | $c: Rose Boyt.,1989
11361,inu.39000001211882,"Thomas, Gordon,",Desire and denial : | sexuality and vocation - a church in crisis / | $c: Gordon Thomas.,1986
4764,uiuo.ark:/13960/t6xw50s5d,"Oliphant,",The son of his father,1887
12811,inu.32000007509732,"Malgonkar, Manohar,","Combat of shadows, | a novel.",1962
13865,mdp.39015080845004,"Berry, Steve,",The Charlemagne pursuit / | $c: Steve Berry.,2009
14928,inu.30000103145904,"Atasü, Erendiz.",The other side of the mountain / | $c: Erendiz Atasü ; translated by Erendiz Atasü and Elizabeth Maslen.,2000
16242,mdp.39015059975998,"Ackroyd, Peter,",The Clerkenwell tales / | $c: by Peter Ackroyd.,2003
12915,inu.39000002740525,"Green, Henry,",Loving ; Living ; Party going / | $c: [by] Henry Green ; with an introduction by John Updike.,1978
8561,uiuo.ark:/13960/t0qr5fn2n,"Shee, Martin Archer,",Oldcourt,1829
21002,uc1.$b795400,"Lindop, Audrey Erskine,",The Judas figures.,1956
4541,mdp.39015065764063,"Thomson, Richard,",Tales of an antiquary,1828
9753,njp.32101041607241,"Brown, Thomas,","Brighton; or, The Steyne",1818
5911,njp.32101063690547,"Fielding, Henry,",The works of Henry Fielding,1893
20295,inu.30000056145489,,Chronicles of the Celts / | $c: [edited by] Iain Zaczek.,1996
372,uiuo.ark:/13960/t08w4053f,"Oliphant,",The laird of Norlaw,1858
8098,mdp.39015065928726,"Kovalevskai︠a︡, S. V.",Sonya Kovalevsky,1895
12190,uc1.$b236286,"Clapham, Walter.",Night by my witness : | a novel / | $c: by Walter Clapham.,1952
7443,uc1.b3325385,"Pardoe,",Speculation,1834
7570,hvd.32044014304265,"Loudon,",The mummy!,1828
18501,mdp.39015014135092,"O'Donnell, Peadar.",The big windows.,1955
17140,mdp.39015029225938,"Laing, B. Kojo",Major Gentl and the Achimota Wars / | $c: Kojo Laing.,1992
3509,uiuo.ark:/13960/t7vm4nf3b,"Grey, Edward.",Dr. Sinclair's sister,1891
19579,inu.30000011354887,"Fowles, John,",The French lieutenant's woman.,1969
12490,mdp.39015002201716,"Chandler, Raymond,",Killer in the rain. | $c: With an introduction by Philip Durham.,1964
3004,nyp.33433075768154,"Wilford, Florence,",Dominie Freylinghausen,1875
19301,uc1.$b119552,"Brathwaite, Errol,",The flying fish / | $c: by Errol Brathwaite.,1964
4346,uiuo.ark:/13960/t1jh46x85,"Walford, Lucy Bethia,",A stiff-necked generation,1889
19111,mdp.39015064867529,"Drake, Nick,",Nefertiti : | the book of the dead / | $c: Nick Drake.,2006
19431,uc1.$b189667,"Mauriac, François,",The stuff of youth : | (La robe pretexte) / | $c: translated by Gerard Hopkins.,1960
